"""Fiskální rok/období"""FISCPER:0FISCPER;"""Kapitola"""FM_AREA:0FM_AREA;"""Prur. a spec. ukazat"""/BIC/ZC_PSUK:ZC_PSUK;"""Schválený rozpočet 0"""KYF_0001:ZU_ROZSCH;"""Rozpočet po změnách 0"""KYF_0002:ZU_ROZPZM;"""Konečný rozpočet 0"""KYF_0003:ZU_KROZP;"""Skutečnost 0"""KYF_0004:ZU_ROZKZ;"""Mimorozpočtové prostředky"""KYF_0005:ZU_ROZKZ;"""Čerpání nároků z nespotřebovaných výdajů"""KYF_0006:ZU_ROZKZ
2025001;0345;SU5010000000;1368553299.00 ;1329737772.00 ;1660808439.56 ;13686600.02 ;0.00 ;885247.82 
2025001;0345;SU5010010000;5000000.00 ;5618800.00 ;11791981.47 ;1416.00 ;0.00 ;0.00 
2025001;0345;SU5010020000;0.00 ;0.00 ;105047523.72 ;643628.82 ;0.00 ;643628.82 
2025001;0345;SU5010030000;1363553299.00 ;1324118972.00 ;1543968934.37 ;13041555.20 ;0.00 ;241619.00 
2025001;0346;PU10010000;2486953252.00 ;2486953252.00 ;2488634160.00 ;22049.00 ;0.00 ;0.00 
2025001;0346;PU10020000;840590200.00 ;840590200.00 ;841096529.00 ;56822.00 ;0.00 ;0.00 
2025001;0346;PU10030000;24836214.00 ;24836214.00 ;24842048.73 ;228472.00 ;0.00 ;556.00 
2025001;0346;PU10060000;156770710.00 ;156770710.00 ;158034924.00 ;3539.00 ;0.00 ;0.00 
2025001;0346;PU10080000;13553409.00 ;13553409.00 ;13553409.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10080100;13553409.00 ;13553409.00 ;13553409.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10080101;13553409.00 ;13553409.00 ;13553409.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10080102;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10080200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10090000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10110000;13553409.00 ;13553409.00 ;13553409.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10200000;39456525.00 ;39456525.00 ;39456525.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10200100;10449290.00 ;10449290.00 ;10449290.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10200200;29007235.00 ;29007235.00 ;29007235.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10220000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10220100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0346;PU10220200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0346;PU10230000;217756342.00 ;217756342.00 ;236186765.32 ;3021067.50 ;0.00 ;2700175.50 
2025001;0346;PU10240000;2326850633.00 ;2326850633.00 ;2327081256.00 ;18508.00 ;0.00 ;0.00 
0000000;0346;PU10250000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0346;SU1010000000;1150000000.00 ;1150000000.00 ;0.00 ;102102083.00 ;0.00 ;0.00 
2025001;0346;SU1030000000;299007235.00 ;299007235.00 ;0.00 ;34419512.60 ;0.00 ;0.00 
2025001;0346;SU1030010000;29007235.00 ;29007235.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0346;SU1030030000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0346;SU1030040000;270000000.00 ;270000000.00 ;0.00 ;34419512.60 ;0.00 ;0.00 
2025001;0346;SU5010000000;4253606104.00 ;4252930804.00 ;4276528813.71 ;48949581.91 ;0.00 ;2837681.42 
2025001;0348;PU10010000;120365636.00 ;120365636.00 ;120365636.00 ;0.00 ;0.00 ;0.00 
2025001;0348;PU10020000;40683585.00 ;40683585.00 ;40683585.00 ;0.00 ;0.00 ;0.00 
2025001;0348;PU10030000;1202718.00 ;1202718.00 ;1202718.00 ;0.00 ;0.00 ;0.00 
2025001;0348;PU10060000;24094193.00 ;24094193.00 ;24094193.00 ;0.00 ;0.00 ;0.00 
0000000;0348;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0348;PU10200000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0348;PU10200100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0348;PU10200200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0348;PU10230000;14236595.00 ;14236595.00 ;14538432.89 ;354941.57 ;0.00 ;216871.69 
2025001;0348;PU10240000;96177630.00 ;96177630.00 ;96177630.00 ;0.00 ;0.00 ;0.00 
2025001;0348;SU1010000000;260150000.00 ;260150000.00 ;0.00 ;80710.00 ;0.00 ;0.00 
2025001;0348;SU1030000000;2231000.00 ;2231000.00 ;0.00 ;83832.11 ;0.00 ;0.00 
0000000;0348;SU1030010000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0348;SU1030040000;2231000.00 ;2231000.00 ;0.00 ;83832.11 ;0.00 ;0.00 
2025001;0348;SU5010000000;192291977.00 ;192291977.00 ;192623014.89 ;1173475.20 ;0.00 ;241071.69 
2025001;0349;PU10010000;200583936.00 ;200583936.00 ;200583936.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10020000;67797370.00 ;67797370.00 ;67797370.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10030000;1982684.00 ;1982684.00 ;1982684.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10050000;11095200.00 ;11095200.00 ;11095200.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10060000;27945304.00 ;27945304.00 ;27945304.00 ;0.00 ;0.00 ;0.00 
0000000;0349;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10200000;6177383.00 ;6177383.00 ;11518383.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10200100;0.00 ;0.00 ;5341000.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10200200;6177383.00 ;6177383.00 ;6177383.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10230000;16777383.00 ;16777383.00 ;22508383.00 ;0.00 ;0.00 ;0.00 
2025001;0349;PU10240000;159227908.00 ;159227908.00 ;159227908.00 ;0.00 ;0.00 ;0.00 
2025001;0349;SU1010000000;465241600.00 ;465241600.00 ;0.00 ;24131819.00 ;0.00 ;0.00 
2025001;0349;SU1030000000;26177383.00 ;26177383.00 ;0.00 ;500294.29 ;0.00 ;0.00 
2025001;0349;SU1030010000;6177383.00 ;6177383.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0349;SU1030040000;20000000.00 ;20000000.00 ;0.00 ;500294.29 ;0.00 ;0.00 
2025001;0349;SU5010000000;360595836.00 ;360595836.00 ;367707736.00 ;5216314.57 ;0.00 ;0.00 
2025001;0353;PU10010000;179277163.00 ;179277163.00 ;182752843.00 ;0.00 ;0.00 ;0.00 
2025001;0353;PU10020000;60595681.00 ;60595681.00 ;61770463.00 ;0.00 ;0.00 ;0.00 
2025001;0353;PU10030000;1769740.00 ;1769740.00 ;1804498.00 ;0.00 ;0.00 ;0.00 
2025001;0353;PU10050000;11224800.00 ;11224800.00 ;11224800.00 ;0.00 ;0.00 ;0.00 
2025001;0353;PU10060000;23778080.00 ;23778080.00 ;24997760.00 ;0.00 ;0.00 ;0.00 
0000000;0353;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0353;PU10200000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0353;PU10200100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0353;PU10200200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0353;PU10230000;54000000.00 ;54000000.00 ;54000000.00 ;1543389.10 ;0.00 ;0.00 
2025001;0353;PU10240000;141971101.00 ;141971101.00 ;144227101.00 ;0.00 ;0.00 ;0.00 
2025001;0353;SU1010000000;4100000.00 ;4100000.00 ;0.00 ;300000.00 ;0.00 ;0.00 
2025001;0353;SU1030000000;8000000.00 ;8000000.00 ;0.00 ;948025.48 ;0.00 ;0.00 
0000000;0353;SU1030010000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0353;SU1030040000;8000000.00 ;8000000.00 ;0.00 ;948025.48 ;0.00 ;0.00 
2025001;0353;SU5010000000;325877462.00 ;325877462.00 ;332023493.00 ;4773674.22 ;0.00 ;0.00 
2025001;0355;PU10010000;126618333.00 ;126618333.00 ;126618333.00 ;28316.00 ;0.00 ;0.00 
2025001;0355;PU10020000;42694410.00 ;42694410.00 ;42694410.00 ;1915.00 ;0.00 ;0.00 
2025001;0355;PU10030000;1216098.00 ;1216098.00 ;1216098.00 ;49850.00 ;0.00 ;0.00 
2025001;0355;PU10060000;84841684.00 ;84841684.00 ;84841684.00 ;19228.00 ;0.00 ;0.00 
2025001;0355;PU10080000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10080100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10080101;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10080102;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10080200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10090000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10140000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10200000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10200100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10200200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10220000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10220100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;PU10220200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10230000;7500000.00 ;7500000.00 ;7500000.00 ;0.00 ;0.00 ;0.00 
2025001;0355;PU10240000;36767997.00 ;36767997.00 ;36767997.00 ;0.00 ;0.00 ;0.00 
0000000;0355;SU1010000000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;SU1030000000;0.00 ;0.00 ;0.00 ;78405.66 ;50000.00 ;0.00 
0000000;0355;SU1030010000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0355;SU1030030000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0355;SU1030040000;0.00 ;0.00 ;0.00 ;78405.66 ;50000.00 ;0.00 
2025001;0355;SU5010000000;125958475.00 ;125958475.00 ;125958475.00 ;781058.88 ;0.00 ;0.00 
2025001;0355;SU5020000000;96005393.00 ;96005393.00 ;96005393.00 ;728242.40 ;0.00 ;0.00 
2025001;0358;PU10010000;136165869.00 ;136165869.00 ;136165869.00 ;0.00 ;0.00 ;0.00 
2025001;0358;PU10020000;46024065.00 ;46024065.00 ;46024065.00 ;0.00 ;0.00 ;0.00 
2025001;0358;PU10030000;1352048.00 ;1352048.00 ;1352048.00 ;0.00 ;0.00 ;0.00 
2025001;0358;PU10060000;84593669.00 ;84593669.00 ;84593669.00 ;0.00 ;0.00 ;0.00 
2025001;0358;PU10230000;14480332.00 ;14480332.00 ;24764861.54 ;1242033.33 ;0.00 ;1235499.33 
0000000;0358;PU10240000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0358;SU1010000000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0358;SU1030000000;0.00 ;0.00 ;0.00 ;100123.00 ;0.00 ;0.00 
2025001;0358;SU1030040000;0.00 ;0.00 ;0.00 ;100123.00 ;0.00 ;0.00 
2025001;0358;SU5010000000;244174723.00 ;244174723.00 ;274973282.36 ;5748476.37 ;0.00 ;2131695.22 
2025001;0358;SU5010010000;50611200.00 ;50611200.00 ;50611200.00 ;0.00 ;0.00 ;0.00 
2025001;0358;SU5010030000;193563523.00 ;193563523.00 ;224362082.36 ;5748476.37 ;0.00 ;2131695.22 
