"ROK","ICP","ICO","NACE"
2022,210500062,27073,"721900"
2022,210500342,27140199,"473000"
2022,210500362,44685181,"873010"
2022,210500702,47539801,"353010"
2022,210500762,45144290,"284100"
2022,210500922,47005319,"853110"
2022,210500992,16367740,"256200"
2022,210501002,49710371,"522300"
2022,210501212,49370227,"841100"
2022,210501232,70107017,"853110"
2022,210501252,26734664,"682000"
2022,210501382,44685165,"872010"
2022,210502382,44794258,"281400"
2022,210502692,67985939,"721900"
2022,210502762,26162539,"631100"
2022,210502892,48035424,"201200"
2022,210503002,44684525,"107200"
2022,210503032,62577123,"172900"
2022,210503042,26468590,"473000"
2022,210503072,42729548,"252100"
2022,210503252,65993390,"522100"
2022,210503452,49240200,"212000"
2022,210503612,26213991,"682020"
2022,210503852,46356657,"015000"
2022,210503882,46356657,"015000"
2022,210504152,71214011,"841100"
2022,210504212,60193531,"521000"
2022,210557082,48950301,"289900"
2022,210557172,45809712,"381100"
2022,210557262,582,"552000"
2022,210557272,27069753,"682020"
2022,210557402,25479733,"467120"
2022,210557422,62955128,"452000"
2022,210557452,49823574,"473000"
2022,210557562,27079864,"101300"
2022,210557972,46356606,"212000"
2022,210558072,25686925,"162300"
2022,210558162,25710257,"464900"
2022,210558512,63999722,"172900"
2022,210558552,25137026,"236300"
2022,210558572,25137026,"236300"
2022,210558642,26755165,"473000"
2022,210558762,45193410,"353010"
2022,210558962,63989069,"711290"
2022,210559032,27891577,"473000"
2022,210559272,49099451,"360000"
2022,210559282,49099451,"360000"
2022,210559752,43082751,"473000"
2022,210559792,675261,"551000"
2022,210559842,41938658,"236300"
2022,210570102,43099459,"381100"
2022,210570122,26489929,"682000"
2022,210570132,49546422,"256100"
2022,210570202,18630189,"181300"
2022,210570342,64942503,"464900"
2022,210570392,16471636,"813000"
2022,210570482,46356657,"015000"
2022,210570512,45806497,"494100"
2022,210570532,26210967,"473000"
2022,210570712,46356487,"381100"
2022,210570802,28510011,"353010"
2022,210570812,28510011,"353010"
2022,210570822,28510011,"353010"
2022,210570832,28510011,"353010"
2022,210570842,28510011,"353010"
2022,210570852,24738875,"612090"
2022,210570942,45274649,"351100"
2022,210570982,26178559,"452000"
2022,210600012,65993390,"522100"
2022,210600052,48665746,"853220"
2022,210600122,61501786,"473000"
2022,210600142,26699940,"682000"
2022,210600182,26190982,"275200"
2022,210600322,61673021,"101100"
2022,210600352,46355821,"014600"
2022,210600522,873497,"872010"
2022,210620062,873713,"873010"
2022,210620952,14751372,"452000"
2022,210621022,63668262,"204100"
2022,210621032,27935311,"701000"
2022,210670092,25029673,"236400"
2022,210670102,26687445,"236300"
