"ROK","ICP","TYP","FUEL_NAME"
2022,611401022,"TECHN","dřevní biomasa"
2022,611401512,"TECHN","zemní plyn"
2022,611470162,"TECHN","propan, butan a jejich směsi"
2022,611480081,"TECHN","zemní plyn"
2022,611480851,"TECHN","zemní plyn"
2022,611500052,"TECHN","zemní plyn"
2022,611500232,"TECHN","zemní plyn"
2022,611500262,"TECHN","zemní plyn"
2022,611500482,"TECHN","zemní plyn"
2022,611500712,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,611500732,"TECHN","zemní plyn"
2022,611500832,"TECHN","zemní plyn"
2022,611500862,"TECHN","zemní plyn"
2022,611502472,"TECHN","zemní plyn"
2022,612110033,"TECHN","zemní plyn"
2022,612140541,"TECHN","zemní plyn"
2022,612170381,"TECHN","zemní plyn"
2022,612280163,"TECHN","zemní plyn"
2022,612400131,"TECHN","zemní plyn"
2022,612400871,"TECHN","zemní plyn"
2022,612400871,"TECHN","koks"
2022,612750033,"TECHN","koks"
2022,612760023,"TECHN","zemní plyn"
2022,612760281,"TECHN","zemní plyn"
2022,613160103,"TECHN","zemní plyn"
2022,613160271,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,613580521,"TECHN","zemní plyn"
2022,613580571,"TECHN","zemní plyn"
2022,614070501,"TECHN","generátorový plyn, vč. produktů zplyňování rafinérských zbytků, apod."
2022,614070501,"TECHN","zemní plyn"
2022,614270021,"TECHN","dřevní biomasa"
2022,614990021,"TECHN","zemní plyn"
2022,616680023,"TECHN","odpad"
2022,616950251,"TECHN","zemní plyn"
2022,617270113,"TECHN","zemní plyn"
2022,617840043,"TECHN","bioplyn"
2022,617860033,"TECHN","zemní plyn"
2022,618628071,"TECHN","zemní plyn"
2022,618628071,"TECHN","koks"
2022,619450541,"TECHN","zemní plyn"
2022,620100982,"TECHN","zemní plyn"
2022,620102112,"TECHN","zemní plyn"
2022,620102202,"TECHN","zemní plyn"
2022,620170032,"TECHN","zemní plyn"
2022,620170182,"TECHN","zemní plyn"
2022,620170402,"TECHN","zemní plyn"
2022,620200482,"TECHN","zemní plyn"
2022,620201002,"TECHN","zemní plyn"
2022,620201032,"TECHN","zemní plyn"
2022,620201422,"TECHN","zemní plyn"
2022,620202202,"TECHN","zemní plyn"
2022,620202212,"TECHN","zemní plyn"
2022,620202322,"TECHN","neurčeno"
2022,620202322,"TECHN","zemní plyn"
2022,620202502,"TECHN","zemní plyn"
2022,620230072,"TECHN","zemní plyn"
2022,620271012,"TECHN","zemní plyn"
2022,620308542,"TECHN","zemní plyn"
2022,620308762,"TECHN","zemní plyn"
2022,620309462,"TECHN","zemní plyn"
2022,620309822,"TECHN","zemní plyn"
2022,620310052,"TECHN","zemní plyn"
2022,620313802,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,620313812,"TECHN","zemní plyn"
2022,620313842,"TECHN","zemní plyn"
2022,620314442,"TECHN","zemní plyn"
2022,620315282,"TECHN","zemní plyn"
2022,620315312,"TECHN","zemní plyn"
2022,620315682,"TECHN","zemní plyn"
2022,620370422,"TECHN","zemní plyn"
2022,620370722,"TECHN","nafta"
2022,620371302,"TECHN","zemní plyn"
2022,620400082,"TECHN","zemní plyn"
2022,620400092,"TECHN","propan, butan a jejich směsi"
2022,620400652,"TECHN","propan, butan a jejich směsi"
2022,620402112,"TECHN","nafta"
2022,620402662,"TECHN","zemní plyn"
2022,620402662,"TECHN","neurčeno"
2022,620470202,"TECHN","zemní plyn"
2022,620470392,"TECHN","zemní plyn"
2022,620500132,"TECHN","zemní plyn"
2022,620500852,"TECHN","zemní plyn"
2022,620590583,"TECHN","zemní plyn"
2022,620600722,"TECHN","zemní plyn"
2022,620600912,"TECHN","dřevní biomasa"
2022,620601652,"TECHN","zemní plyn"
2022,620601852,"TECHN","zemní plyn"
2022,620670022,"TECHN","zemní plyn"
2022,620670221,"TECHN","zemní plyn"
2022,620670282,"TECHN","zemní plyn"
2022,620670322,"TECHN","zemní plyn"
2022,620670332,"TECHN","zemní plyn"
2022,620670392,"TECHN","bioplyn"
2022,620700022,"TECHN","zemní plyn"
2022,620700102,"TECHN","zemní plyn"
2022,620701362,"TECHN","zemní plyn"
2022,620701472,"TECHN","zemní plyn"
2022,620701742,"TECHN","zemní plyn"
2022,620710111,"TECHN","zemní plyn"
2022,620760601,"TECHN","zemní plyn"
2022,620870042,"TECHN","zemní plyn"
2022,620900132,"TECHN","zemní plyn"
2022,621001172,"TECHN","zemní plyn"
2022,621070252,"TECHN","zemní plyn"
2022,621070262,"TECHN","zemní plyn"
2022,621070332,"TECHN","zemní plyn"
2022,621100321,"TECHN","hnědé uhlí prachové"
2022,621100321,"TECHN","zemní plyn"
2022,621200092,"TECHN","zemní plyn"
2022,621200512,"TECHN","zemní plyn"
2022,621200642,"TECHN","zemní plyn"
2022,621220011,"TECHN","zemní plyn"
2022,621220013,"TECHN","zemní plyn"
2022,621270112,"TECHN","zemní plyn"
2022,621300062,"TECHN","zemní plyn"
2022,621380013,"TECHN","zemní plyn"
2022,621380041,"TECHN","zemní plyn"
2022,621380053,"TECHN","zemní plyn"
2022,621400392,"TECHN","zemní plyn"
2022,621500492,"TECHN","zemní plyn"
2022,621520013,"TECHN","zemní plyn"
2022,621570012,"TECHN","zemní plyn"
2022,621600931,"TECHN","zemní plyn"
2022,621680071,"TECHN","zemní plyn"
2022,621688011,"TECHN","zemní plyn"
2022,621688011,"TECHN","dřevní biomasa"
2022,621700492,"TECHN","zemní plyn"
2022,621700872,"TECHN","propan, butan a jejich směsi"
2022,621750201,"TECHN","zemní plyn"
2022,621750203,"TECHN","zemní plyn"
2022,621801042,"TECHN","skládkový plyn"
2022,621870102,"TECHN","bioplyn"
2022,621870142,"TECHN","zemní plyn"
2022,621900262,"TECHN","zemní plyn"
2022,621900442,"TECHN","zemní plyn"
2022,621900832,"TECHN","zemní plyn"
2022,621901272,"TECHN","zemní plyn"
2022,621970092,"TECHN","zemní plyn"
2022,622012912,"TECHN","zemní plyn"
2022,622018252,"TECHN","zemní plyn"
2022,622031302,"TECHN","bioplyn"
2022,622050193,"TECHN","zemní plyn"
2022,622058011,"TECHN","zemní plyn"
2022,622070402,"TECHN","zemní plyn"
2022,622070452,"TECHN","zemní plyn"
2022,622070552,"TECHN","zemní plyn"
2022,622070562,"TECHN","zemní plyn"
2022,622070572,"TECHN","zemní plyn"
2022,622170282,"TECHN","zemní plyn"
2022,622220023,"TECHN","zemní plyn"
2022,622220103,"TECHN","zemní plyn"
2022,622221161,"TECHN","zemní plyn"
2022,622480101,"TECHN","zemní plyn"
2022,622650031,"TECHN","bioplyn"
2022,622650031,"TECHN","zemní plyn"
2022,622650031,"TECHN","koks"
2022,622658131,"TECHN","bioplyn"
2022,622658141,"TECHN","bioplyn"
2022,622840021,"TECHN","zemní plyn"
2022,623010561,"TECHN","zemní plyn"
2022,623080411,"TECHN","zemní plyn"
2022,623080571,"TECHN","zemní plyn"
2022,623080701,"TECHN","zemní plyn"
2022,623160053,"TECHN","dřevní biomasa"
2022,623160711,"TECHN","zemní plyn"
2022,623160961,"TECHN","zemní plyn"
2022,623450053,"TECHN","zemní plyn"
2022,623480033,"TECHN","zemní plyn"
2022,623660023,"TECHN","bioplyn"
2022,624050013,"TECHN","zemní plyn"
2022,624100031,"TECHN","odpad"
2022,624100031,"TECHN","zemní plyn"
2022,624100031,"TECHN","hnědé uhlí prachové"
2022,624400491,"TECHN","zemní plyn"
2022,624580311,"TECHN","zemní plyn"
2022,624630043,"TECHN","zemní plyn"
2022,624920731,"TECHN","zemní plyn"
2022,625140101,"TECHN","zemní plyn"
2022,625398131,"TECHN","zemní plyn"
2022,625398131,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,625580013,"TECHN","zemní plyn"
2022,625581061,"TECHN","zemní plyn"
2022,625590131,"TECHN","zemní plyn"
2022,625960033,"TECHN","zemní plyn"
2022,625960901,"TECHN","zemní plyn"
2022,625968153,"TECHN","zemní plyn"
2022,626988031,"TECHN","zemní plyn"
2022,627470061,"TECHN","zemní plyn"
2022,627470061,"TECHN","koks"
2022,627490063,"TECHN","zemní plyn"
2022,627660011,"TECHN","zemní plyn"
2022,627880201,"TECHN","zemní plyn"
2022,627960083,"TECHN","dřevní biomasa"
2022,627960251,"TECHN","zemní plyn"
2022,627960711,"TECHN","zemní plyn"
2022,628370211,"TECHN","propan, butan a jejich směsi"
2022,628370211,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,628821221,"TECHN","zemní plyn"
2022,629330013,"TECHN","propan, butan a jejich směsi"
2022,629550961,"TECHN","zemní plyn"
2022,629830013,"TECHN","zemní plyn"
2022,630080023,"TECHN","zemní plyn"
2022,630250013,"TECHN","propan, butan a jejich směsi"
2022,630850151,"TECHN","zemní plyn"
2022,630858081,"TECHN","zemní plyn"
2022,631948093,"TECHN","zemní plyn"
2022,632140411,"TECHN","zemní plyn"
2022,632521293,"TECHN","zemní plyn"
2022,633350301,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,633380013,"TECHN","nafta"
2022,633380641,"TECHN","zemní plyn"
2022,633400051,"TECHN","zemní plyn"
2022,633400381,"TECHN","zemní plyn"
2022,633460061,"TECHN","zemní plyn"
2022,633460231,"TECHN","zemní plyn"
2022,633710063,"TECHN","zemní plyn"
2022,633818311,"TECHN","zemní plyn"
2022,633960771,"TECHN","zemní plyn"
2022,634250013,"TECHN","zemní plyn"
2022,634340441,"TECHN","zemní plyn"
2022,634718091,"TECHN","zemní plyn"
2022,634950123,"TECHN","zemní plyn"
2022,634950163,"TECHN","nafta"
2022,635098123,"TECHN","zemní plyn"
2022,635480703,"TECHN","zemní plyn"
