"KOD","TEXT"
"461900","Zprostředkování nespecializovaného velkoobchodu a nespecializovaný velkoobchod v zastoupení"
"462100","Velkoobchod s obilím, surovým tabákem, osivy a krmivy"
"463100","Velkoobchod s ovocem a zeleninou"
"463200","Velkoobchod s masem a masnými výrobky"
"463300","Velkoobchod s mléčnými výrobky, vejci, jedlými oleji a tuky"
"463400","Velkoobchod s nápoji"
"463900","Nespecializovaný velkoobchod s potravinami, nápoji a tabákovými výrobky"
"464100","Velkoobchod s textilem"
"464200","Velkoobchod s oděvy a obuví"
"464300","Velkoobchod s elektrospotřebiči a elektronikou"
"464410","Velkoobchod s porcelánovými, keramickými a skleněnými výrobky"
"464420","Velkoobchod s pracími a čisticími prostředky"
"464500","Velkoobchod s kosmetickými výrobky"
"464600","Velkoobchod s farmaceutickými výrobky"
"464900","Velkoobchod s ostatními výrobky převážně pro domácnost"
"465100","Velkoobchod s počítači, počítačovým periferním zařízením a softwarem"
"466100","Velkoobchod se zemědělskými stroji, strojním zařízením a příslušenstvím"
"466300","Velkoobchod s těžebními a stavebními stroji a zařízením"
"466900","Velkoobchod s ostatními stroji a zařízením"
"467100","Velkoobchod s pevnými, kapalnými a plynnými palivy a příbuznými výrobky"
"467110","Velkoobchod s pevnými palivy a příbuznými výrobky"
"467120","Velkoobchod s kapalnými palivy a příbuznými výrobky"
"467130","Velkoobchod s plynnými palivy a příbuznými výrobky"
"467200","Velkoobchod s rudami, kovy a hutními výrobky"
"467300","Velkoobchod se dřevem, stavebními materiály a sanitárním vybavením"
"467400","Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami"
"467500","Velkoobchod s chemickými výrobky"
"467600","Velkoobchod s ostatními meziprodukty"
"467690","Velkoobchod s ostatními meziprodukty j. n."
"467700","Velkoobchod s odpadem a šrotem"
"469000","Nespecializovaný velkoobchod"
"471000","Maloobchod v nespecializovaných prodejnách"
"471100","Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách"
"471900","Ostatní maloobchod v nespecializovaných prodejnách"
"472100","Maloobchod s ovocem a zeleninou"
