"Ukazatel","IndicatorType","Pohlaví","POHL2","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Liberecký kraj","CZ051","427396"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Královéhradecký kraj","CZ052","549329"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Pardubický kraj","CZ053","507176"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Kraj Vysočina","CZ063","518315"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Jihomoravský kraj","CZ064","1124493"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Olomoucký kraj","CZ071","638374"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Zlínský kraj","CZ072","594060"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Moravskoslezský kraj","CZ080","1265912"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Česko","CZ","10203269"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Praha","CZ01","1161938"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Střední Čechy","CZ02","1128674"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Jihozápad","CZ03","1174471"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Severozápad","CZ04","1123932"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Severovýchod","CZ05","1482292"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Jihovýchod","CZ06","1639422"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Střední Morava","CZ07","1229880"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Moravskoslezsko","CZ08","1262660"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Hlavní město Praha","CZ010","1161938"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Středočeský kraj","CZ020","1128674"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Jihočeský kraj","CZ031","625097"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Plzeňský kraj","CZ032","549374"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Karlovarský kraj","CZ041","304220"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Ústecký kraj","CZ042","819712"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Liberecký kraj","CZ051","427321"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Královéhradecký kraj","CZ052","548437"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Pardubický kraj","CZ053","506534"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Kraj Vysočina","CZ063","517630"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Jihomoravský kraj","CZ064","1121792"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Olomoucký kraj","CZ071","636750"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Zlínský kraj","CZ072","593130"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2003","2003","Moravskoslezský kraj","CZ080","1262660"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Česko","CZ","10211455"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Praha","CZ01","1165581"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Střední Čechy","CZ02","1135795"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Jihozápad","CZ03","1175654"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Severozápad","CZ04","1125117"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Severovýchod","CZ05","1480771"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Jihovýchod","CZ06","1640081"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Střední Morava","CZ07","1228179"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Moravskoslezsko","CZ08","1260277"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Hlavní město Praha","CZ010","1165581"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Středočeský kraj","CZ020","1135795"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Jihočeský kraj","CZ031","625541"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Plzeňský kraj","CZ032","550113"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Karlovarský kraj","CZ041","304249"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Ústecký kraj","CZ042","820868"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Liberecký kraj","CZ051","427722"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Královéhradecký kraj","CZ052","547563"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Pardubický kraj","CZ053","505486"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Kraj Vysočina","CZ063","517511"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Jihomoravský kraj","CZ064","1122570"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Olomoucký kraj","CZ071","636313"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Zlínský kraj","CZ072","591866"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2004","2004","Moravskoslezský kraj","CZ080","1260277"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Česko","CZ","10220577"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Praha","CZ01","1170571"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Střední Čechy","CZ02","1144071"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Jihozápad","CZ03","1175330"
