"ROK","IDFPROV","EMISE","EMI_MNO_T"
2023,210400552,"oxid uhelnatý (CO)",0.0250
2023,210400552,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1050
2023,210400552,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0010
2023,210400552,"tuhé znečišťující látky (TZL)",0.0020
2023,210400552,"těkavé organické látky (VOC)",0
2023,210400562,"oxid uhelnatý (CO)",0.0020
2023,210400562,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0850
2023,210400562,"tuhé znečišťující látky (TZL)",0.0740
2023,210400682,"těkavé organické látky (VOC)",0.1340
2023,210470052,"oxid uhelnatý (CO)",0.0040
2023,210470052,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0890
2023,210470052,"tuhé znečišťující látky (TZL)",1.8790
2023,210500362,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0020
2023,210500362,"oxid uhelnatý (CO)",0.0330
2023,210500362,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1320
2023,210500362,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0010
2023,210500362,"tuhé znečišťující látky (TZL)",0.0020
2023,210500922,"oxid uhelnatý (CO)",0.1720
2023,210500922,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2010
2023,210500922,"tuhé znečišťující látky (TZL)",0.0570
2023,210500992,"organické látky vyjádřené jako celkový organický uhlík (TOC)",1.6760
2023,210500992,"oxid uhelnatý (CO)",0.0210
2023,210500992,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0450
2023,210500992,"tuhé znečišťující látky (TZL)",0.0120
2023,210500992,"těkavé organické látky (VOC)",6.4070
2023,210501002,"oxid uhelnatý (CO)",0.01
2023,210501002,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.25
2023,210502892,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.6710
2023,210502892,"oxid uhelnatý (CO)",3.2740
2023,210502892,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",2.89
2023,210502892,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",44.6810
2023,210502892,"tuhé znečišťující látky (TZL)",3.1840
2023,210502892,"těkavé organické látky (VOC)",0.8390
2023,210503032,"tuhé znečišťující látky (TZL)",0.1170
2023,210503032,"těkavé organické látky (VOC)",2.0770
2023,210503072,"oxid uhelnatý (CO)",0.0020
2023,210503072,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0360
2023,210503852,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.03
2023,210503852,"oxid uhelnatý (CO)",0.14
2023,210503852,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.60
2023,210503852,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0040
2023,210503852,"tuhé znečišťující látky (TZL)",0.0090
2023,210557082,"organické látky vyjádřené jako celkový organický uhlík (TOC)",1.0380
2023,210557172,"oxid uhelnatý (CO)",6.8780
2023,210557172,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",4.0330
2023,210557172,"tuhé znečišťující látky (TZL)",0.06
2023,210557562,"oxid uhelnatý (CO)",0.0060
2023,210557562,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0260
2023,210558072,"tuhé znečišťující látky (TZL)",0.0020
2023,210558072,"těkavé organické látky (VOC)",3.0360
2023,210558512,"organické látky vyjádřené jako celkový organický uhlík (TOC)",1.9350
2023,210558512,"těkavé organické látky (VOC)",1.3910
2023,210558552,"tuhé znečišťující látky (TZL)",0.0740
2023,210558572,"tuhé znečišťující látky (TZL)",0.2820
2023,210559842,"oxid uhelnatý (CO)",0.0010
2023,210559842,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0170
2023,210559842,"tuhé znečišťující látky (TZL)",0.66
2023,210570102,"tuhé znečišťující látky (TZL)",0.4350
2023,210570132,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0170
2023,210570132,"tuhé znečišťující látky (TZL)",0
2023,210570202,"těkavé organické látky (VOC)",0.3990
2023,210570342,"oxid uhelnatý (CO)",0.0330
2023,210570342,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0450
2023,210570342,"tuhé znečišťující látky (TZL)",0.0020
2023,210570482,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0
2023,210570482,"oxid uhelnatý (CO)",29.2460
2023,210570482,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",23.1310
2023,210570482,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0
2023,210570482,"tuhé znečišťující látky (TZL)",0.2270
2023,210570512,"oxid uhelnatý (CO)",0.0020
2023,210570512,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0220
2023,210570512,"těkavé organické látky (VOC)",0.6830
2023,210570712,"methan",4.13
2023,210600182,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.4630
2023,210600182,"tuhé znečišťující látky (TZL)",0.0950
2023,210600182,"těkavé organické látky (VOC)",0.29
2023,210600322,"oxid uhelnatý (CO)",0.03
2023,210600322,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.11
2023,210620952,"tuhé znečišťující látky (TZL)",0.0550
2023,210621022,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.1780
2023,210670092,"oxid uhelnatý (CO)",0.0340
2023,210670092,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.4840
2023,210670102,"tuhé znečišťující látky (TZL)",0.5810
2023,210700022,"amoniak a soli amonné vyjádřené jako amoniak (NH3)",0
2023,210700022,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.36
2023,210700022,"oxid uhelnatý (CO)",0.1310
2023,210700022,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",3.4350
2023,210700022,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",2.24
2023,210700022,"tuhé znečišťující látky (TZL)",0.1940
2023,210700022,"těkavé organické látky (VOC)",0
2023,210700432,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0290
2023,210700432,"oxid uhelnatý (CO)",0.0010
2023,210700432,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0230
2023,210700432,"tuhé znečišťující látky (TZL)",0.0170
2023,210700432,"těkavé organické látky (VOC)",0.2280
2023,210700452,"oxid uhelnatý (CO)",5.50
2023,210700452,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",7.6320
2023,210700532,"organické látky vyjádřené jako celkový organický uhlík (TOC)",1.9290
2023,210700532,"oxid uhelnatý (CO)",0.0010
2023,210700532,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.02
2023,210700532,"tuhé znečišťující látky (TZL)",0.0550
2023,210700532,"těkavé organické látky (VOC)",0.17
2023,210700692,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.6820
2023,210700692,"oxid uhelnatý (CO)",2.4310
2023,210700692,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.7370
2023,210700692,"tuhé znečišťující látky (TZL)",0.2520
2023,210770032,"tuhé znečišťující látky (TZL)",0.4230
2023,210802102,"oxid uhelnatý (CO)",0.0040
2023,210802102,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0380
2023,210802732,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0440
2023,210802732,"oxid uhelnatý (CO)",0.0290
2023,210802732,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.3880
2023,210802732,"těkavé organické látky (VOC)",1.4670
2023,210802842,"tuhé znečišťující látky (TZL)",0
2023,210842522,"oxid uhelnatý (CO)",5.0770
2023,210842522,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",5.5160
2023,210842522,"tuhé znečišťující látky (TZL)",0.1780
2023,210842552,"těkavé organické látky (VOC)",0.4010
2023,210842612,"organické látky vyjádřené jako celkový organický uhlík (TOC)",2.4340
2023,210842612,"tuhé znečišťující látky (TZL)",0.0030
2023,210842612,"těkavé organické látky (VOC)",0.4550
2023,210842622,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.27
2023,210842622,"oxid uhelnatý (CO)",0.0070
2023,210842622,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1590
2023,210842622,"tuhé znečišťující látky (TZL)",0
2023,210870102,"oxid uhelnatý (CO)",0.0030
2023,210870102,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.03
2023,210870102,"těkavé organické látky (VOC)",0.02
2023,210870122,"tuhé znečišťující látky (TZL)",0.3020
2023,210870142,"těkavé organické látky (VOC)",7.9380
2023,210870242,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0040
2023,210870242,"oxid uhelnatý (CO)",0.0060
2023,210870242,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0250
2023,210870272,"tuhé znečišťující látky (TZL)",0.0120
2023,210900272,"oxid uhelnatý (CO)",0.3650
2023,210900272,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",1.6140
2023,210901212,"oxid uhelnatý (CO)",0.01
2023,210901212,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2410
2023,210901392,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0
2023,210901392,"oxid uhelnatý (CO)",0.1890
2023,210901392,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.8960
2023,210901392,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0080
2023,210901392,"tuhé znečišťující látky (TZL)",0.02
2023,210901392,"těkavé organické látky (VOC)",0.0630
2023,210901492,"fluor a jeho anorganické sloučeniny vyjádřené jako fluorovodík (HF)",0.0711
2023,210901492,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0060
2023,210901492,"oxid uhelnatý (CO)",0.7890
2023,210901492,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.4510
2023,210901492,"tuhé znečišťující látky (TZL)",0.0270
2023,210901712,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.2310
2023,210901712,"oxid uhelnatý (CO)",0.1170
2023,210901712,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0
